COLOR BURST | COLOR BURST | None | isNew:None | [('novice', 5), ('advanced', 11), ('exhaust', 14), ('maximum', 17)]
ASTRL GG | ASTRL GG | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17.5), ('maximum', 19.7)]
Astra Blaze | Astra Blaze | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.5)]
Roar of Chronos | Roar of Chronos | None | isNew:None | [('novice', 6), ('advanced', 12), ('exhaust', 15), ('maximum', 18.7)]
RUINA | RUINA | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17.5), ('maximum', 19.8)]
Thunderstorm | Thunderstorm | None | isNew:None | [('novice', 5), ('advanced', 13), ('exhaust', 16), ('maximum', 18.1)]
G.L.I.T.C.H. | G.L.I.T.C.H. | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.4)]
cyanotype | cyanotype | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18)]
Excelsia | Excelsia | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.4)]
Homesick Pt.2&3 | Homesick Pt.2&3 | None | isNew:None | [('novice', 5), ('advanced', 11), ('exhaust', 14), ('maximum', 17)]
Smile & Go!! | Smile & Go!! | None | isNew:None | [('novice', 4), ('advanced', 13), ('exhaust', 16), ('maximum', 18.2)]
Silent Flame,Never Fade | Silent Flame,Never Fade | None | isNew:None | [('novice', 3), ('advanced', 11), ('exhaust', 14), ('maximum', 17.5)]
架空と本当 | 架空と本当 | None | isNew:None | [('novice', 2), ('advanced', 9), ('exhaust', 13), ('maximum', 16)]
Leflector | Leflector | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.5)]
Vanishment for reconstruction | Vanishment for reconstruction | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.5)]
Dement ~After Legend~ | Dement ~After Legend~ | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.5)]
It's All Right | It's All Right | None | isNew:None | [('novice', 5), ('advanced', 12), ('exhaust', 15), ('maximum', 17)]
あすはまたたくほしのように | あすはまたたくほしのように | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.2)]
レシピのリドル | レシピのリドル | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.3)]
なんてシュペール | なんてシュペール | None | isNew:None | [('novice', 4), ('advanced', 12), ('exhaust', 15), ('maximum', 17)]
謎解き☆クイーン！ | 謎解き☆クイーン！ | None | isNew:None | [('novice', 3), ('advanced', 10), ('exhaust', 14), ('maximum', 17)]
ちくたく2ちく2ぱ | ちくたく2ちく2ぱ | None | isNew:None | [('novice', 5), ('advanced', 13), ('exhaust', 16), ('maximum', 18.6)]
スペクター・チェイサー | スペクター・チェイサー | None | isNew:None | [('novice', 4), ('advanced', 12), ('exhaust', 15), ('maximum', 17)]
凌天滅狐 | 凌天滅狐 | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17), ('maximum', 19.5)]
Solitary Poison | Solitary Poison | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17.5), ('maximum', 19.6)]
ULTRACHARGE | ULTRACHARGE | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17.5), ('maximum', 19.6)]
ΔLI∇E | ΔLI∇E | None | isNew:None | [('novice', 8), ('advanced', 15), ('exhaust', 18.5), ('maximum', 20.7)]
ΛVYXXIRENIΛ | ΛVYXXIRENIΛ | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17.5), ('maximum', 19.5)]
Lava Flow | Lava Flow | None | isNew:None | [('novice', 5), ('advanced', 12), ('exhaust', 15), ('maximum', 17)]
断罪のミメシス | 断罪のミメシス | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17), ('maximum', 19.6)]
Smintheus | Smintheus | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17), ('maximum', 19.5)]
Secret Raid | Secret Raid | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.4)]
Any％ | Any％ | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17), ('maximum', 19.3)]
Esperanza | Esperanza | None | isNew:None | [('novice', 5), ('advanced', 12), ('exhaust', 16), ('maximum', 18.6)]
ユニゾンなデイズ♪ | ユニゾンなデイズ♪ | None | isNew:None | [('novice', 5), ('advanced', 12), ('exhaust', 15), ('maximum', 17.5)]
Melted Energy | Melted Energy | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.7)]
Track Laundering | Track Laundering | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.6)]
Dizzy Echoes | Dizzy Echoes | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.2)]
Little Prana | Little Prana | None | isNew:None | [('novice', 5), ('advanced', 13), ('exhaust', 16), ('maximum', 18.2)]
モノノケ狂想曲 | モノノケ狂想曲 | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.6)]
Faith of Frenzy | Faith of Frenzy | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.5)]
ZILLION RAY | ZILLION RAY | None | isNew:None | [('novice', 5), ('advanced', 12), ('exhaust', 15), ('maximum', 17)]
Raise the flag of victory! | Raise the flag of victory! | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17), ('maximum', 19.5)]
VIIIΧ | VIIIΧ | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.5)]
Stellar Pilgrim | Stellar Pilgrim | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.6)]
Sakura Eyelen | Sakura Eyelen | None | isNew:None | [('novice', 6), ('advanced', 13), ('exhaust', 16), ('maximum', 18.4)]
Sci-Φ-nder | Sci-Φ-nder | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 17.5), ('maximum', 19.6)]
サイハテ | サイハテ | None | isNew:None | [('novice', 8), ('advanced', 15), ('exhaust', 18.4), ('maximum', 20.5)]
覚帝神刻 | 覚帝神刻 | None | isNew:None | [('novice', 7), ('advanced', 14), ('exhaust', 18.1), ('maximum', 19.8)]
KAC PERFECT ULTIMATE CHRONICLE -Lord of the SOUND VOLTEX- | KAC PERFECT ULTIMATE CHRONICLE -Lord of the SOUND VOLTEX- | None | isNew:None | [('novice', 8), ('advanced', 15), ('exhaust', 18.7), ('maximum', 20.8)]
